location,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean
Berlin,1982-07-01 00:00:00+00:00,19.439,12.039,15.580667
Berlin,1982-07-02 00:00:00+00:00,21.338999,11.789,17.326498
Berlin,1982-07-03 00:00:00+00:00,28.539,15.188999,21.030666
Berlin,1982-07-04 00:00:00+00:00,19.139,13.889,16.655668
Berlin,1982-07-05 00:00:00+00:00,18.789,12.389,15.509834
Berlin,1982-07-06 00:00:00+00:00,19.139,11.389,15.568166
Berlin,1982-07-07 00:00:00+00:00,19.389,12.639,15.974418
Berlin,1982-07-08 00:00:00+00:00,22.239,11.089,17.218168
Berlin,1982-07-09 00:00:00+00:00,23.939,12.238999,18.591082
Berlin,1982-07-10 00:00:00+00:00,25.539,12.589,20.059834
Berlin,1982-07-11 00:00:00+00:00,26.739,13.738999,21.314005
Berlin,1982-07-12 00:00:00+00:00,25.739,16.239,21.468168
Berlin,1982-07-13 00:00:00+00:00,26.239,17.389,22.236916
Berlin,1982-07-14 00:00:00+00:00,26.838999,18.088999,22.578585
Berlin,1982-07-15 00:00:00+00:00,29.338999,18.139,24.572334
Berlin,1982-07-16 00:00:00+00:00,28.139,19.739,23.528585
Berlin,1982-07-17 00:00:00+00:00,21.639,16.338999,19.85775
Berlin,1982-07-18 00:00:00+00:00,22.039,13.988999,18.428585
Berlin,1982-07-19 00:00:00+00:00,22.689,13.188999,18.693167
Berlin,1982-07-20 00:00:00+00:00,25.489,14.438999,20.843168
Berlin,1982-07-21 00:00:00+00:00,26.889,16.588999,22.12442
Berlin,1982-07-22 00:00:00+00:00,23.689,15.339,19.497335
Berlin,1982-07-23 00:00:00+00:00,24.439,15.188999,20.086918
Berlin,1982-07-24 00:00:00+00:00,26.189,14.589,21.468164
Berlin,1982-07-25 00:00:00+00:00,26.039,18.338999,22.184835
Berlin,1982-07-26 00:00:00+00:00,21.338999,16.139,18.52025
Berlin,1982-07-27 00:00:00+00:00,21.989,14.339,17.834837
Berlin,1982-07-28 00:00:00+00:00,23.939,12.389,18.909832
Berlin,1982-07-29 00:00:00+00:00,26.189,12.488999,19.995249
Berlin,1982-07-30 00:00:00+00:00,25.989,12.938999,20.449419
Berlin,1982-07-31 00:00:00+00:00,28.189,15.039,22.595251
Berlin,1982-08-01 00:00:00+00:00,28.139,16.939,23.053581
Berlin,1982-08-02 00:00:00+00:00,27.889,17.588999,23.239
Berlin,1982-08-03 00:00:00+00:00,29.789,18.539,24.693169
Berlin,1982-08-04 00:00:00+00:00,30.689,21.289,25.216082
Berlin,1982-08-05 00:00:00+00:00,30.588999,18.789,24.911917
Berlin,1982-08-06 00:00:00+00:00,30.889,19.588999,25.014002
Berlin,1982-08-07 00:00:00+00:00,29.739,17.639,24.061918
